id_word,Spelling,wlen,Frequency,DomPoS,meaning,path
1,the,3,7.67,determiner,el/la/los/las,images/words/1.webp
2,a,1,7.378,determiner,un/una,images/words/2.webp
3,i,1,7.334,pronoun,yo,images/words/3.webp
4,it,2,7.331,pronoun,él/ella/ello,images/words/4.webp
5,and,3,7.325,conjunction,y,images/words/5.webp
6,you,3,7.317,pronoun,tú/usted/vosotros/ustedes,images/words/6.webp
7,of,2,7.273,preposition,de,images/words/7.webp
8,that,4,7.189,determiner,ese/esa/aquel/aquella,images/words/8.webp
9,in,2,7.166,preposition,en,images/words/9.webp
10,we,2,7,pronoun,nosotros/nosotras,images/words/10.webp
11,for,3,6.928,preposition,para/por,images/words/11.webp
12,have,4,6.897,verb,tener/haber,images/words/12.webp
13,on,2,6.891,preposition,sobre/en,images/words/13.webp
14,this,4,6.891,determiner,este/esta,images/words/14.webp
15,they,4,6.827,pronoun,ellos/ellas,images/words/15.webp
16,he,2,6.821,pronoun,él,images/words/16.webp
17,what,4,6.778,pronoun,qué,images/words/17.webp
18,but,3,6.761,conjunction,pero,images/words/18.webp
19,with,4,6.753,preposition,con,images/words/19.webp
20,at,2,6.689,preposition,en/a,images/words/20.webp
21,all,3,6.626,determiner,todo/toda/todos/todas,images/words/21.webp
22,as,2,6.608,preposition,como,images/words/22.webp
23,one,3,6.565,number,uno,images/words/23.webp
24,can,3,6.558,verb,poder,images/words/24.webp
25,will,4,6.551,verb,voluntad/testamento,images/words/25.webp
26,up,2,6.53,preposition,arriba,images/words/26.webp
27,like,4,6.529,preposition,como,images/words/27.webp
28,my,2,6.517,pronoun,mi,images/words/28.webp
29,about,5,6.514,preposition,sobre/acerca de,images/words/29.webp
30,think,5,6.506,verb,pensar,images/words/30.webp
31,if,2,6.504,preposition,si,images/words/31.webp
32,no,2,6.498,determiner,ningún/ninguna,images/words/32.webp
33,from,4,6.496,preposition,de/desde,images/words/33.webp
34,get,3,6.487,verb,obtener/conseguir,images/words/34.webp
35,out,3,6.482,preposition,fuera,images/words/35.webp
36,would,5,6.45,verb,"(verbo condicional)",images/words/36.webp
37,know,4,6.425,verb,saber/conocer,images/words/37.webp
38,she,3,6.416,pronoun,ella,images/words/38.webp
39,good,4,6.353,adjective,bueno/buena,images/words/39.webp
40,time,4,6.35,noun,tiempo,images/words/40.webp
41,people,6,6.348,noun,gente/personas,images/words/41.webp
42,see,3,6.337,verb,ver,images/words/42.webp
43,who,3,6.322,pronoun,quien/quiénes,images/words/43.webp
44,more,4,6.318,adjective,más,images/words/44.webp
45,or,2,6.292,conjunction,o,images/words/45.webp
46,by,2,6.277,preposition,por,images/words/46.webp
47,some,4,6.275,determiner,algunos/algunas,images/words/47.webp
48,could,5,6.27,verb,podía/podría,images/words/48.webp
49,which,5,6.265,determiner,cuál/cuáles,images/words/49.webp
50,come,4,6.255,verb,venir,images/words/50.webp
51,look,4,6.228,verb,mirar,images/words/51.webp
52,want,4,6.225,verb,querer,images/words/52.webp
53,because,7,6.217,preposition,porque,images/words/53.webp
54,two,3,6.175,number,dos,images/words/54.webp
55,first,5,6.172,adjective,primero/primera,images/words/55.webp
56,let,3,6.162,verb,dejar/permitir,images/words/56.webp
57,over,4,6.143,preposition,sobre/encima de,images/words/57.webp
58,make,4,6.14,verb,hacer,images/words/58.webp
59,say,3,6.132,verb,decir,images/words/59.webp
60,these,5,6.124,determiner,estos/estas,images/words/60.webp
61,way,3,6.118,noun,camino/manera,images/words/61.webp
62,bit,3,6.098,noun,pedazo/poco,images/words/62.webp
63,down,4,6.09,preposition,abajo,images/words/63.webp
64,off,3,6.083,preposition,fuera de/apagado,images/words/64.webp
65,take,4,6.079,verb,tomar,images/words/65.webp
66,need,4,6.069,verb,necesitar,images/words/66.webp
67,little,6,6.034,adjective,pequeño/pequeña,images/words/67.webp
68,than,4,6.017,preposition,que,images/words/68.webp
69,any,3,6.013,determiner,algún/alguna/cualquier,images/words/69.webp
70,should,6,5.996,verb,debería (condicional),images/words/70.webp
71,great,5,5.995,adjective,grande/excelente,images/words/71.webp
72,day,3,5.99,noun,día,images/words/72.webp
73,work,4,5.988,noun,trabajo,images/words/73.webp
74,put,3,5.987,verb,poner,images/words/74.webp
75,lot,3,5.981,noun,lote/mucho,images/words/75.webp
76,new,3,5.979,adjective,nuevo/nueva,images/words/76.webp
77,last,4,5.974,adjective,último/última,images/words/77.webp
78,today,5,5.958,noun,hoy,images/words/78.webp
79,through,7,5.944,preposition,a través de,images/words/79.webp
80,big,3,5.943,adjective,grande,images/words/80.webp
81,thing,5,5.94,noun,cosa,images/words/81.webp
82,after,5,5.94,preposition,después de,images/words/82.webp
83,those,5,5.94,determiner,esos/esas/aquellos/aquellas,images/words/83.webp
84,three,5,5.939,number,tres,images/words/84.webp
85,year,4,5.92,noun,año,images/words/85.webp
86,next,4,5.891,adjective,siguiente/próximo,images/words/86.webp
87,find,4,5.889,verb,encontrar,images/words/87.webp
88,before,6,5.883,preposition,antes de,images/words/88.webp
89,world,5,5.882,noun,mundo,images/words/89.webp
90,love,4,5.876,verb,amar,images/words/90.webp
91,many,4,5.871,adjective,muchos/muchas,images/words/91.webp
92,thank,5,5.871,verb,agradecer,images/words/92.webp
93,home,4,5.861,noun,hogar/casa,images/words/93.webp
94,give,4,5.861,verb,dar,images/words/94.webp
95,around,6,5.861,preposition,alrededor de,images/words/95.webp
96,man,3,5.858,noun,hombre,images/words/96.webp
97,money,5,5.839,noun,dinero,images/words/97.webp
98,nice,4,5.83,adjective,agradable/bonito,images/words/98.webp
99,house,5,5.827,noun,casa,images/words/99.webp
100,tell,4,5.825,verb,decir/contar,images/words/100.webp
101,life,4,5.814,noun,vida,images/words/101.webp
102,long,4,5.803,adjective,largo/larga,images/words/102.webp
103,might,5,5.798,verb,poder (pasado/potencial),images/words/103.webp
104,old,3,5.795,adjective,viejo/vieja,images/words/104.webp
105,sure,4,5.795,adjective,seguro/segura,images/words/105.webp
106,place,5,5.78,noun,lugar,images/words/106.webp
107,its,3,5.773,pronoun,su (de ello),images/words/107.webp
108,show,4,5.773,noun,espectáculo,images/words/108.webp
109,end,3,5.77,noun,fin,images/words/109.webp
110,start,5,5.77,verb,comenzar,images/words/110.webp
111,government,10,5.762,noun,gobierno,images/words/111.webp
112,help,4,5.747,verb,ayudar,images/words/112.webp
113,every,5,5.735,determiner,cada,images/words/113.webp
114,feel,4,5.726,verb,sentir,images/words/114.webp
115,keep,4,5.723,verb,guardar/mantener,images/words/115.webp
116,own,3,5.718,adjective,propio/propia,images/words/116.webp
117,round,5,5.714,noun,ronda/redondo,images/words/117.webp
118,mean,4,5.705,verb,significar,images/words/118.webp
119,play,4,5.689,verb,jugar,images/words/119.webp
120,may,3,5.683,verb,poder (permiso),images/words/120.webp
121,family,6,5.683,noun,familia,images/words/121.webp
122,please,6,5.677,verb,complacer/por favor,images/words/122.webp
123,four,4,5.674,number,cuatro,images/words/123.webp
124,few,3,5.672,adjective,pocos/pocas,images/words/124.webp
125,part,4,5.671,noun,parte,images/words/125.webp
126,team,4,5.671,noun,equipo,images/words/126.webp
127,must,4,5.67,verb,deber,images/words/127.webp
128,course,6,5.669,noun,curso,images/words/128.webp
129,week,4,5.661,noun,semana,images/words/129.webp
130,different,9,5.656,adjective,diferente,images/words/130.webp
131,night,5,5.651,noun,noche,images/words/131.webp
132,sorry,5,5.649,adjective,lo siento/apenado,images/words/132.webp
133,try,3,5.648,verb,intentar,images/words/133.webp
134,same,4,5.648,adjective,mismo/misma,images/words/134.webp
135,lovely,6,5.648,adjective,encantador/encantadora,images/words/135.webp
136,country,7,5.648,noun,país,images/words/136.webp
137,five,4,5.647,number,cinco,images/words/137.webp
138,top,3,5.645,adjective,superior/cima,images/words/138.webp
139,name,4,5.614,noun,nombre,images/words/139.webp
140,sort,4,5.61,noun,tipo/clase,images/words/140.webp
141,second,6,5.61,adjective,segundo/segunda,images/words/141.webp
142,head,4,5.609,noun,cabeza,images/words/142.webp
143,job,3,5.605,noun,trabajo,images/words/143.webp
144,question,8,5.605,noun,pregunta,images/words/144.webp
145,point,5,5.603,noun,punto,images/words/145.webp
146,kind,4,5.602,noun,tipo/clase,images/words/146.webp
147,room,4,5.598,noun,habitación/cuarto,images/words/147.webp
148,under,5,5.596,preposition,debajo de,images/words/148.webp
149,hard,4,5.584,adjective,duro/difícil,images/words/149.webp
150,wrong,5,5.584,adjective,incorrecto/equivocado,images/words/150.webp
151,set,3,5.574,verb,establecer/colocar,images/words/151.webp
152,moment,6,5.574,noun,momento,images/words/152.webp
153,both,4,5.572,determiner,ambos/ambas,images/words/153.webp
154,important,9,5.567,adjective,importante,images/words/154.webp
155,use,3,5.566,verb,usar,images/words/155.webp
156,idea,4,5.565,noun,idea,images/words/156.webp
157,hope,4,5.563,verb,esperar,images/words/157.webp
158,bad,3,5.562,adjective,malo/mala,images/words/158.webp
159,happy,5,5.562,adjective,feliz,images/words/159.webp
160,number,6,5.561,noun,número,images/words/160.webp
161,believe,7,5.561,verb,creer,images/words/161.webp
162,answer,6,5.559,noun,respuesta,images/words/162.webp
163,between,7,5.553,preposition,entre,images/words/163.webp
164,half,4,5.551,noun,mitad,images/words/164.webp
165,stop,4,5.551,verb,detener/parar,images/words/165.webp
166,side,4,5.551,noun,lado,images/words/166.webp
167,whole,5,5.545,adjective,entero/entera,images/words/167.webp
168,game,4,5.544,noun,juego,images/words/168.webp
169,call,4,5.536,verb,llamar,images/words/169.webp
170,real,4,5.531,adjective,real,images/words/170.webp
171,each,4,5.53,determiner,cada,images/words/171.webp
172,water,5,5.53,noun,agua,images/words/172.webp
173,high,4,5.528,adjective,alto/alta,images/words/173.webp
174,party,5,5.527,noun,fiesta/partido,images/words/174.webp
175,against,7,5.526,preposition,contra,images/words/175.webp
176,ready,5,5.518,adjective,listo/lista,images/words/176.webp
177,talk,4,5.517,verb,hablar,images/words/177.webp
178,remember,8,5.515,verb,recordar,images/words/178.webp
179,problem,7,5.509,noun,problema,images/words/179.webp
180,young,5,5.507,adjective,joven,images/words/180.webp
181,police,6,5.503,noun,policía,images/words/181.webp
182,such,4,5.502,adjective,tal,images/words/182.webp
183,live,4,5.502,verb,vivir,images/words/183.webp
184,morning,7,5.497,noun,mañana,images/words/184.webp
185,across,6,5.494,preposition,a través de,images/words/185.webp
186,win,3,5.492,verb,ganar,images/words/186.webp
187,leave,5,5.49,verb,dejar/salir,images/words/187.webp
188,run,3,5.486,verb,correr,images/words/188.webp
189,move,4,5.486,verb,mover/mudarse,images/words/189.webp
190,change,6,5.486,verb,cambiar,images/words/190.webp
191,business,8,5.471,noun,negocio,images/words/191.webp
192,six,3,5.47,number,seis,images/words/192.webp
193,mind,4,5.47,noun,mente,images/words/193.webp
194,able,4,5.469,adjective,capaz,images/words/194.webp
195,final,5,5.465,adjective,final,images/words/195.webp
196,since,5,5.465,preposition,desde,images/words/196.webp
197,mum,3,5.46,noun,mamá,images/words/197.webp
198,chance,6,5.456,noun,oportunidad,images/words/198.webp
199,while,5,5.454,preposition,mientras,images/words/199.webp
200,fact,4,5.453,noun,hecho,images/words/200.webp
201,school,6,5.453,noun,escuela,images/words/201.webp
202,fantastic,9,5.452,adjective,fantástico/fantástica,images/words/202.webp
203,tonight,7,5.45,noun,esta noche,images/words/203.webp
204,line,4,5.448,noun,línea,images/words/204.webp
205,food,4,5.448,noun,comida,images/words/205.webp
206,turn,4,5.447,verb,girar/cambiar,images/words/206.webp
207,local,5,5.445,adjective,local,images/words/207.webp
208,public,6,5.444,adjective,público/pública,images/words/208.webp
209,fine,4,5.443,adjective,bien/fino,images/words/209.webp
210,face,4,5.442,noun,cara,images/words/210.webp
211,car,3,5.441,noun,coche/auto,images/words/211.webp
212,hear,4,5.437,verb,escuchar/oír,images/words/212.webp
213,hand,4,5.437,noun,mano,images/words/213.webp
214,case,4,5.434,noun,caso,images/words/214.webp
215,small,5,5.431,adjective,pequeño/pequeña,images/words/215.webp
216,thanks,6,5.431,noun,gracias,images/words/216.webp
217,though,6,5.431,preposition,aunque,images/words/217.webp
218,beautiful,9,5.423,adjective,bello/bella/hermoso/hermosa,images/words/218.webp
219,story,5,5.421,noun,historia,images/words/219.webp
220,front,5,5.42,noun,frente,images/words/220.webp
221,behind,6,5.419,preposition,detrás de,images/words/221.webp
222,couple,6,5.416,noun,pareja,images/words/222.webp
223,dad,3,5.414,noun,papá,images/words/223.webp
224,open,4,5.414,adjective,abierto/abierta,images/words/224.webp
225,news,4,5.411,noun,noticias,images/words/225.webp
226,ask,3,5.409,verb,preguntar,images/words/226.webp
227,meet,4,5.406,verb,encontrar/conocer,images/words/227.webp
228,difficult,9,5.405,adjective,difícil,images/words/228.webp
229,area,4,5.404,noun,área/zona,images/words/229.webp
230,bring,5,5.404,verb,traer,images/words/230.webp
231,pay,3,5.402,verb,pagar,images/words/231.webp
232,full,4,5.398,adjective,lleno/llena,images/words/232.webp
233,until,5,5.398,preposition,hasta,images/words/233.webp
234,city,4,5.397,noun,ciudad,images/words/234.webp
235,stuff,5,5.39,noun,cosas,images/words/235.webp
236,stay,4,5.389,verb,quedarse,images/words/236.webp
237,whether,7,5.389,preposition,si,images/words/237.webp
238,ten,3,5.386,number,diez,images/words/238.webp
239,million,7,5.379,number,millón,images/words/239.webp
240,wait,4,5.369,verb,esperar,images/words/240.webp
241,buy,3,5.368,verb,comprar,images/words/241.webp
242,property,8,5.368,noun,propiedad,images/words/242.webp
243,clear,5,5.367,adjective,claro/clara,images/words/243.webp
244,correct,7,5.366,adjective,correcto/correcta,images/words/244.webp
245,amazing,7,5.357,adjective,increíble,images/words/245.webp
246,inside,6,5.355,preposition,dentro de,images/words/246.webp
247,cut,3,5.351,verb,cortar,images/words/247.webp
248,music,5,5.348,noun,música,images/words/248.webp
249,war,3,5.341,noun,guerra,images/words/249.webp
